Questions,Answers,extended_answer,base_response,generated_samples,synonyms,synonym_responses,antonyms,antonym_responses,selfcheck_score,hallucination_check
What year did Guns N Roses perform a promo for a movie starring Arnold Schwarzenegger as a former New York Police detective?,1999,Guns N Roses performed a promo for a movie starring Arnold Schwarzenegger as a former New York Police detective in 1999.,"Guns N' Roses performed a promo in 1990 for the movie ""Terminator 2: Judgment Day,"" starring Arnold Schwarzenegger as a former New York Police detective.","Guns N' Roses performed a promo for the movie ""End of Days,"" starring Arnold Schwarzenegger as a former New York Police detective, in 1999.;Guns N' Roses performed a promo for the movie ""End of Days,"" starring Arnold Schwarzenegger as a former New York Police detective, in 1999.;Guns N' Roses performed a promo for the movie ""End of Days,"" starring Arnold Schwarzenegger as a former New York Police detective, in 1999.;Guns N' Roses performed a promo for the movie ""End of Days,"" starring Arnold Schwarzenegger as a former New York Police detective, in 1999.;Guns N' Roses performed a promo for the movie ""End of Days,"" starring Arnold Schwarzenegger as a former New York Police detective, in 1999.;Guns N' Roses performed a promo for the movie ""End of Days,"" starring Arnold Schwarzenegger as a former New York Police detective, in the year 1999.;In 1991, Guns N' Roses performed a promo for the movie ""Terminator 2: Judgment Day,"" starring Arnold Schwarzenegger as a former New York Police detective.;Guns N' Roses performed a promo for the movie ""End of Days,"" starring Arnold Schwarzenegger as a former New York Police detective, in 1999.;Guns N' Roses performed a promo in 1999 for the movie ""End of Days,"" starring Arnold Schwarzenegger as a former New York Police detective.;Guns N' Roses performed a promo in 1990 for the movie ""Terminator 2: Judgment Day,"" starring Arnold Schwarzenegger as a former New York Police detective.","1. In 1990, Guns N' Roses performed a promo for the movie ""Terminator 2: Judgment Day,"" which starred Arnold Schwarzenegger as a former New York Police detective.;2. The year 1990 saw Guns N' Roses performing a promo for ""Terminator 2: Judgment Day,"" featuring Arnold Schwarzenegger as a former New York Police detective.;3. Guns N' Roses did a promo in 1990 for ""Terminator 2: Judgment Day,"" with Arnold Schwarzenegger playing a former New York Police detective.;4. In the year 1990, Guns N' Roses performed a promotional piece for ""Terminator 2: Judgment Day,"" starring Arnold Schwarzenegger as a former New York Police detective.;5. The movie ""Terminator 2: Judgment Day,"" starring Arnold Schwarzenegger as a former New York Police detective, had a promo performed by Guns N' Roses in 1990.",NO;NO;NO;NO;NO,"1. Guns N' Roses did not perform a promo in 1990 for the movie ""Terminator 2: Judgment Day,"" starring Arnold Schwarzenegger as a former New York Police detective.;2. Guns N' Roses performed a promo in 1990, but not for the movie ""Terminator 2: Judgment Day,"" starring Arnold Schwarzenegger as a former New York Police detective.;3. Guns N' Roses performed a promo for ""Terminator 2: Judgment Day,"" but not in 1990.;4. Guns N' Roses did not perform a promo for ""Terminator 2: Judgment Day,"" starring Arnold Schwarzenegger as a former New York Police detective.;5. Guns N' Roses performed a promo in 1990, but not for a movie starring Arnold Schwarzenegger as a former New York Police detective.",NO;NO;YES;NO;NOT SURE,0.2,yes
Brown State Fishing Lake is in a country that has a population of how many inhabitants ?,"9,984","Brown State Fishing Lake is in a country that has a population of 9,984 inhabitants.","Brown State Fishing Lake is located in the United States, which has a population of approximately 331 million inhabitants.","Brown State Fishing Lake is in the United States, which has a population of approximately 331 million inhabitants as of 2021.;Brown State Fishing Lake is in the United States, a country with a population of approximately 331 million inhabitants as of 2023.;Brown State Fishing Lake is in the United States, a country with a population of approximately 331 million inhabitants as of 2021.;Brown State Fishing Lake is in the United States, which has a population of approximately 331 million inhabitants as of 2021.;Brown State Fishing Lake is located in the United States, which has a population of approximately 331 million inhabitants.;Brown State Fishing Lake is in the United States, which has a population of approximately 331 million inhabitants.;Brown State Fishing Lake is located in the United States, which has a population of approximately 331 million inhabitants.;Brown State Fishing Lake is located in the United States, a country with a population of approximately 331 million inhabitants as of 2021.;Brown State Fishing Lake is located in the United States, which has a population of approximately 331 million inhabitants as of 2021.;Brown State Fishing Lake is located in the United States, which has a population of approximately 331 million inhabitants.","1. Brown State Fishing Lake is situated in the United States, a country with a population of around 331 million inhabitants.;2. The United States, where Brown State Fishing Lake is found, has a population of about 331 million inhabitants.;3. Located in the United States, Brown State Fishing Lake is in a country with approximately 331 million inhabitants.;4. Brown State Fishing Lake resides in the United States, which boasts a population of roughly 331 million inhabitants.;5. The country housing Brown State Fishing Lake, the United States, has a population nearing 331 million inhabitants.",YES;YES;YES;YES;YES,"1. Brown State Fishing Lake is not located in the United States, which has a population of approximately 331 million inhabitants.;2. Brown State Fishing Lake is located in the United States, which does not have a population of approximately 331 million inhabitants.;3. Brown State Fishing Lake is not located in the United States, which does not have a population of approximately 331 million inhabitants.;4. Brown State Fishing Lake is located in a country other than the United States, which has a population of approximately 331 million inhabitants.;5. Brown State Fishing Lake is located in the United States, which has a population not close to approximately 331 million inhabitants.",NO;NO;NO;NO;NO,0.1,yes
"Which performance act has a higher instrument to person ratio, Badly Drawn Boy or Wolf Alice? ",Badly Drawn Boy,Badly Drawn Boy has a higher instrument to person ratio compared to Wolf Alice.,"Badly Drawn Boy, primarily a solo act by Damon Gough, has a higher instrument to person ratio compared to Wolf Alice, a four-member band.","Badly Drawn Boy, primarily a solo artist, typically has a higher instrument to person ratio compared to the band Wolf Alice, which consists of multiple members.;Wolf Alice typically has a higher instrument to person ratio as they are a four-member band with each member often playing multiple instruments, whereas Badly Drawn Boy is primarily a solo act.;Badly Drawn Boy, primarily a solo act by Damon Gough, has a higher instrument to person ratio compared to Wolf Alice, which is a four-member band.;Badly Drawn Boy, primarily a solo artist, typically has a higher instrument to person ratio compared to Wolf Alice, which is a four-member band.;Badly Drawn Boy, primarily a solo project by Damon Gough, has a higher instrument to person ratio compared to Wolf Alice, which is a four-member band.;Badly Drawn Boy, primarily a solo project by Damon Gough, has a higher instrument to person ratio compared to Wolf Alice, which is a four-member band.;Badly Drawn Boy, being a solo artist typically accompanied by multiple instruments, has a higher instrument to person ratio compared to Wolf Alice, which is a four-member band.;Badly Drawn Boy, primarily a solo project of Damon Gough, typically has a higher instrument to person ratio compared to Wolf Alice, which is a four-member band.;Badly Drawn Boy, primarily a solo act by Damon Gough, has a higher instrument to person ratio compared to the band Wolf Alice, which consists of multiple members.;Badly Drawn Boy, primarily a solo act by Damon Gough, has a higher instrument to person ratio compared to Wolf Alice, a four-member band.","1. Badly Drawn Boy, mainly performed by Damon Gough alone, features a higher instrument to individual ratio than Wolf Alice, which consists of four members.;2. With Damon Gough as the sole performer, Badly Drawn Boy exhibits a greater instrument to person ratio in comparison to the four-member band Wolf Alice.;3. The solo act Badly Drawn Boy, led by Damon Gough, has a higher ratio of instruments to people than the four-person band Wolf Alice.;4. Compared to the four-member group Wolf Alice, Badly Drawn Boy, primarily Damon Gough's solo project, boasts a higher instrument to person ratio.;5. Badly Drawn Boy, with Damon Gough as the primary solo artist, maintains a higher instrument to person ratio than the four-member ensemble Wolf Alice.",NOT SURE;YES;YES;YES;NOT SURE,"1. Badly Drawn Boy does not have a higher instrument to person ratio compared to Wolf Alice.;2. Wolf Alice has a higher instrument to person ratio compared to Badly Drawn Boy.;3. Badly Drawn Boy, primarily a solo act by Damon Gough, does not have a higher instrument to person ratio compared to Wolf Alice, a four-member band.;4. Wolf Alice, a four-member band, has a higher instrument to person ratio compared to Badly Drawn Boy, primarily a solo act by Damon Gough.;5. Badly Drawn Boy does not have more instruments per person than Wolf Alice.",NOT SURE;NOT SURE;YES;YES;NOT SURE,0.1,no
"The Livesey Hal War Memorial commemorates the fallen of which war, that had over 60 million casualties?",World War II,"The Livesey Hal War Memorial commemorates the fallen of World War II, a war that had over 60 million casualties.","The Livesey Hall War Memorial commemorates the fallen of World War II, which had over 60 million casualties.","The Livesey Hall War Memorial commemorates the fallen of World War II, which had over 60 million casualties.;The Livesey Hall War Memorial commemorates the fallen of World War II, which had over 60 million casualties.;The Livesey Hall War Memorial commemorates the fallen of World War II, a conflict that resulted in over 60 million casualties.;The Livesey Hall War Memorial commemorates the fallen of World War II, which had over 60 million casualties.;The Livesey Hall War Memorial commemorates the fallen of World War II, which had over 60 million casualties.;The Livesey Hall War Memorial commemorates the fallen of World War II, which had over 60 million casualties.;The Livesey Hall War Memorial commemorates the fallen of World War I, which had over 60 million casualties.;The Livesey Hall War Memorial commemorates the fallen of World War II, which had over 60 million casualties.;The Livesey Hall War Memorial commemorates the fallen of World War I, a conflict that resulted in over 16 million casualties, not over 60 million.;The Livesey Hall War Memorial commemorates the fallen of World War II, which had over 60 million casualties.","1. The Livesey Hall War Memorial honors the fallen of World War II, a conflict with over 60 million casualties.;2. World War II, which resulted in over 60 million casualties, is commemorated by the Livesey Hall War Memorial.;3. The Livesey Hall War Memorial is dedicated to those who perished in World War II, a war with more than 60 million casualties.;4. Commemorating the fallen of World War II, the Livesey Hall War Memorial remembers a war with over 60 million casualties.;5. The Livesey Hall War Memorial pays tribute to the victims of World War II, a war that claimed over 60 million lives.",NOT SURE;NOT SURE;NOT SURE;YES;YES,"1. The Livesey Hall War Memorial does not commemorate the fallen of World War II, which had over 60 million casualties.;2. The fallen of World War II, which had over 60 million casualties, are not commemorated by the Livesey Hall War Memorial.;3. World War II, which had over 60 million casualties, is not commemorated by the Livesey Hall War Memorial.;4. The Livesey Hall War Memorial does not honor the fallen of World War II, which had over 60 million casualties.;5. The Livesey Hall War Memorial commemorates the fallen of a war other than World War II, which had over 60 million casualties.",NOT SURE;YES;YES;NOT SURE;NOT SURE,0.2,no
"Ellie Goulding worked with what other writers on her third studio album, Delirium?","Max Martin, Savan Kotecha and Ilya Salmanzadeh","Ellie Goulding worked with Max Martin, Savan Kotecha, and Ilya Salmanzadeh, who are all talented writers, on her third studio album, Delirium.","Ellie Goulding worked with writers such as Max Martin, Savan Kotecha, and Greg Kurstin on her third studio album, Delirium.","Ellie Goulding worked with writers such as Max Martin, Savan Kotecha, and Greg Kurstin on her third studio album, Delirium.;Ellie Goulding worked with writers such as Max Martin, Greg Kurstin, and Ryan Tedder on her third studio album, Delirium.;Ellie Goulding worked with writers such as Max Martin, Savan Kotecha, Ali Payami, Greg Kurstin, and Ryan Tedder on her third studio album, Delirium.;Ellie Goulding worked with writers such as Max Martin, Savan Kotecha, and Greg Kurstin on her third studio album, Delirium.;Ellie Goulding worked with writers such as Max Martin, Savan Kotecha, and Greg Kurstin on her third studio album, Delirium.;Ellie Goulding worked with writers such as Max Martin, Savan Kotecha, and Ryan Tedder on her third studio album, Delirium.;Ellie Goulding worked with writers such as Max Martin, Savan Kotecha, and Greg Kurstin on her third studio album, Delirium.;Ellie Goulding worked with writers such as Max Martin, Savan Kotecha, and Greg Kurstin on her third studio album, Delirium.;Ellie Goulding worked with writers such as Max Martin, Greg Kurstin, and Ryan Tedder on her third studio album, Delirium.;Ellie Goulding worked with writers such as Max Martin, Savan Kotecha, and Greg Kurstin on her third studio album, Delirium.","1. Ellie Goulding collaborated with writers like Max Martin, Savan Kotecha, and Greg Kurstin on her third studio album, Delirium.;2. On her third studio album, Delirium, Ellie Goulding teamed up with writers including Max Martin, Savan Kotecha, and Greg Kurstin.;3. Writers such as Max Martin, Savan Kotecha, and Greg Kurstin worked with Ellie Goulding on her third studio album, Delirium.;4. For her third studio album, Delirium, Ellie Goulding enlisted the help of writers Max Martin, Savan Kotecha, and Greg Kurstin.;5. Ellie Goulding's third studio album, Delirium, features contributions from writers Max Martin, Savan Kotecha, and Greg Kurstin.",YES;YES;YES;YES;YES,"1. Ellie Goulding did not work with writers such as Max Martin, Savan Kotecha, and Greg Kurstin on her third studio album, Delirium.;2. Max Martin, Savan Kotecha, and Greg Kurstin did not work with Ellie Goulding on her third studio album, Delirium.;3. Ellie Goulding's third studio album, Delirium, did not involve writers like Max Martin, Savan Kotecha, and Greg Kurstin.;4. Writers such as Max Martin, Savan Kotecha, and Greg Kurstin were not involved in Ellie Goulding's third studio album, Delirium.;5. On her third studio album, Delirium, Ellie Goulding did not collaborate with Max Martin, Savan Kotecha, and Greg Kurstin.",NO;YES;NO;YES;NO,0.3,no
"Based on a True Story... is an album by which country music star, with the single My Eyes?",Blake Shelton,"Based on a True Story... is an album by country music star Blake Shelton, with the single My Eyes.","Based on a True Story... is an album by country music star Blake Shelton, which includes the single ""My Eyes.""","""Based on a True Story..."" is an album by country music star Blake Shelton, which includes the single ""My Eyes."";Based on a True Story... is an album by country music star Blake Shelton, featuring the single ""My Eyes."";Based on a True Story... is an album by country music star Blake Shelton, featuring the single ""My Eyes."";Based on a True Story... is an album by country music star Blake Shelton, which includes the single ""My Eyes."";Based on a True Story... is an album by country music star Blake Shelton, which includes the single ""My Eyes."";Based on a True Story... is an album by country music star Blake Shelton, which includes the single ""My Eyes."";Based on a True Story... is an album by country music star Blake Shelton, which includes the single ""My Eyes."";Based on a True Story... is an album by country music star Blake Shelton, which includes the single ""My Eyes."";Based on a True Story... is an album by country music star Blake Shelton, which includes the single ""My Eyes."";Based on a True Story... is an album by country music star Blake Shelton, which includes the single ""My Eyes.""","1. Based on a True Story... is an album by country music star Blake Shelton, featuring the single ""My Eyes."";2. Country music star Blake Shelton released the album Based on a True Story..., which contains the single ""My Eyes."";3. The album Based on a True Story... by country music star Blake Shelton includes the track ""My Eyes."";4. Blake Shelton, the country music star, has an album titled Based on a True Story... that features the single ""My Eyes."";5. The single ""My Eyes"" is part of the album Based on a True Story... by country music star Blake Shelton.",YES;YES;YES;YES;YES,"1. Based on a True Story... is not an album by country music star Blake Shelton, which includes the single ""My Eyes."";2. Based on a True Story... is an album by a country music star other than Blake Shelton, which includes the single ""My Eyes."";3. Blake Shelton did not release the album Based on a True Story..., which includes the single ""My Eyes."";4. The album Based on a True Story... does not include the single ""My Eyes"" by Blake Shelton.;5. Blake Shelton's album does not include the single ""My Eyes"" and is not titled Based on a True Story...",NO;NO;NO;NO;NO,0,no
Were the bands Skin Yard and Ostava from the U.S.?,no,"No, neither Skin Yard nor Ostava were from the U.S.","Skin Yard was from the U.S., specifically Seattle, Washington, while Ostava is a band from Bulgaria.","Skin Yard was from the U.S., specifically Seattle, Washington, while Ostava is a rock band from Bulgaria.;Skin Yard was from the U.S., while Ostava is a rock band from Bulgaria.;Skin Yard was from the U.S., while Ostava is a rock band from Bulgaria.;Skin Yard was from the U.S., while Ostava is a band from Bulgaria.;Skin Yard was from the U.S., while Ostava is a rock band from Bulgaria.;Skin Yard was from the U.S., while Ostava is a Bulgarian rock band.;Skin Yard was from the U.S., specifically Seattle, Washington, while Ostava is from Bulgaria.;Skin Yard was from the U.S., but Ostava is from Bulgaria.;Skin Yard was from the U.S., specifically Seattle, Washington, while Ostava is from Bulgaria.;Skin Yard was from the U.S., specifically Seattle, Washington, while Ostava is a band from Bulgaria.","1. Skin Yard originated in the U.S., specifically in Seattle, Washington, whereas Ostava hails from Bulgaria.;2. The band Skin Yard was based in Seattle, Washington, in the U.S., while Ostava is a Bulgarian band.;3. Skin Yard, a band from Seattle, Washington, represents the U.S., in contrast to Ostava, which is from Bulgaria.;4. While Skin Yard was formed in Seattle, Washington, in the U.S., Ostava comes from Bulgaria.;5. Skin Yard, hailing from Seattle, Washington, is an American band, whereas Ostava is from Bulgaria.",YES;YES;YES;YES;YES,"1. Skin Yard was not from the U.S., specifically Seattle, Washington.;2. Ostava is not a band from Bulgaria.;3. Skin Yard was not from Seattle, Washington.;4. Ostava is not from Bulgaria.;5. Skin Yard was not from the U.S.",NO;NOT SURE;NO;NOT SURE;NO,0,no
The youngest daughter of Lady Mary-Gaye Curzon stars with Douglas Smith and Lucien Laviscount  in what 2017 film?,The Bye Bye Man,"The youngest daughter of Lady Mary-Gaye Curzon stars with Douglas Smith and Lucien Laviscount in the 2017 film titled ""The Bye Bye Man.""","The youngest daughter of Lady Mary-Gaye Curzon, Cressida Bonas, stars with Douglas Smith and Lucien Laviscount in the 2017 film ""The Bye Bye Man.""","The youngest daughter of Lady Mary-Gaye Curzon, Cressida Bonas, stars with Douglas Smith and Lucien Laviscount in the 2017 film ""The Bye Bye Man."";The youngest daughter of Lady Mary-Gaye Curzon, Cressida Bonas, stars with Douglas Smith and Lucien Laviscount in the 2017 film ""The Bye Bye Man."";The youngest daughter of Lady Mary-Gaye Curzon, Cressida Bonas, stars with Douglas Smith and Lucien Laviscount in the 2017 film ""The Bye Bye Man."";The youngest daughter of Lady Mary-Gaye Curzon, Cressida Bonas, stars with Douglas Smith and Lucien Laviscount in the 2017 film ""The Bye Bye Man."";The youngest daughter of Lady Mary-Gaye Curzon, Cressida Bonas, stars with Douglas Smith and Lucien Laviscount in the 2017 film ""The Bye Bye Man."";The youngest daughter of Lady Mary-Gaye Curzon, Cressida Bonas, stars with Douglas Smith and Lucien Laviscount in the 2017 film ""The Bye Bye Man."";The youngest daughter of Lady Mary-Gaye Curzon, Cressida Bonas, stars with Douglas Smith and Lucien Laviscount in the 2017 film ""The Bye Bye Man."";The youngest daughter of Lady Mary-Gaye Curzon, Cressida Bonas, stars with Douglas Smith and Lucien Laviscount in the 2017 film ""The Bye Bye Man."";The youngest daughter of Lady Mary-Gaye Curzon, Cressida Bonas, stars with Douglas Smith and Lucien Laviscount in the 2017 film ""The Bye Bye Man."";The youngest daughter of Lady Mary-Gaye Curzon, Cressida Bonas, stars with Douglas Smith and Lucien Laviscount in the 2017 film ""The Bye Bye Man.""","1. Cressida Bonas, the youngest daughter of Lady Mary-Gaye Curzon, stars alongside Douglas Smith and Lucien Laviscount in the 2017 film ""The Bye Bye Man."";2. In the 2017 film ""The Bye Bye Man,"" Cressida Bonas, the youngest daughter of Lady Mary-Gaye Curzon, stars with Douglas Smith and Lucien Laviscount.;3. The 2017 film ""The Bye Bye Man"" features Cressida Bonas, the youngest daughter of Lady Mary-Gaye Curzon, starring with Douglas Smith and Lucien Laviscount.;4. Starring with Douglas Smith and Lucien Laviscount in the 2017 film ""The Bye Bye Man"" is Cressida Bonas, the youngest daughter of Lady Mary-Gaye Curzon.;5. The youngest daughter of Lady Mary-Gaye Curzon, Cressida Bonas, appears with Douglas Smith and Lucien Laviscount in the 2017 film ""The Bye Bye Man.""",YES;YES;NOT SURE;YES;YES,"1. The youngest daughter of Lady Mary-Gaye Curzon, Cressida Bonas, does not star with Douglas Smith and Lucien Laviscount in the 2017 film ""The Bye Bye Man."";2. Cressida Bonas does not star with Douglas Smith and Lucien Laviscount in the 2017 film ""The Bye Bye Man."";3. The 2017 film ""The Bye Bye Man"" does not star Cressida Bonas with Douglas Smith and Lucien Laviscount.;4. The youngest daughter of Lady Mary-Gaye Curzon does not star with Douglas Smith and Lucien Laviscount in the 2017 film ""The Bye Bye Man."";5. Cressida Bonas is not the youngest daughter of Lady Mary-Gaye Curzon who stars with Douglas Smith and Lucien Laviscount in the 2017 film ""The Bye Bye Man.""",YES;YES;NO;YES;YES,0,no
When was the palace founded at which Columba de Dunbar died in 1435?,the late 12th Century,"The palace, at which Columba de Dunbar died in 1435, was founded in the late 12th Century.","The palace at which Columba de Dunbar died in 1435, Dunbar Castle, was originally founded in the early 13th century.","The palace at which Columba de Dunbar died in 1435, Dunbar Castle, was originally founded in the early 13th century.;The palace at which Columba de Dunbar died in 1435, Dunbar Castle, was originally founded in the early 13th century.;Columba de Dunbar died at Dunbar Castle, which was originally founded in the 12th century.;The palace at which Columba de Dunbar died in 1435, known as Dunbar Castle, was originally founded in the early 13th century.;Columba de Dunbar died in 1435 at Dunbar Castle, which was originally founded in the early 12th century.;Columba de Dunbar died in 1435 at Dunbar Castle, which was originally founded in the early 13th century.;Columba de Dunbar died in 1435 at Dunbar Castle, which was originally founded in the 12th century.;The palace at which Columba de Dunbar died in 1435, Dunbar Castle, was originally founded in the early 13th century.;Columba de Dunbar died in 1435 at Dunbar Castle, which was originally founded in the early 13th century.;The palace at which Columba de Dunbar died in 1435, Dunbar Castle, was originally founded in the early 13th century.","1. Dunbar Castle, where Columba de Dunbar died in 1435, was initially established in the early 13th century.;2. The early 13th century saw the founding of Dunbar Castle, the place where Columba de Dunbar passed away in 1435.;3. In the early 13th century, Dunbar Castle, the site of Columba de Dunbar's death in 1435, was founded.;4. The palace known as Dunbar Castle, where Columba de Dunbar died in 1435, was founded in the early 13th century.;5. Founded in the early 13th century, Dunbar Castle is the palace where Columba de Dunbar died in 1435.",NOT SURE;NO;NO;NOT SURE;NOT SURE,"1. The palace at which Columba de Dunbar died in 1435, Dunbar Castle, was not originally founded in the early 13th century.;2. Dunbar Castle, where Columba de Dunbar died in 1435, was not founded in the early 13th century.;3. The early 13th century is not when Dunbar Castle, where Columba de Dunbar died in 1435, was founded.;4. Dunbar Castle was not founded in the early 13th century, despite being the place where Columba de Dunbar died in 1435.;5. The early 13th century does not mark the founding of Dunbar Castle, where Columba de Dunbar died in 1435.",NOT SURE;NOT SURE;YES;NOT SURE;YES,0.3,yes
The author of Sexual Politics attended which British University?,Oxford,"The author of Sexual Politics attended Oxford, one of the most prestigious universities in Britain.","The author of ""Sexual Politics,"" Kate Millett, attended St Hilda's College at the University of Oxford.","The author of ""Sexual Politics,"" Kate Millett, attended St Hilda's College at the University of Oxford.;The author of ""Sexual Politics,"" Kate Millett, attended St Hilda's College at the University of Oxford.;The author of ""Sexual Politics,"" Kate Millett, attended St Hilda's College at the University of Oxford.;The author of ""Sexual Politics,"" Kate Millett, attended St Hilda's College at the University of Oxford.;The author of ""Sexual Politics,"" Kate Millett, attended St Hilda's College at the University of Oxford.;The author of ""Sexual Politics,"" Kate Millett, attended St Hilda's College, Oxford University.;The author of Sexual Politics, Kate Millett, attended St Hilda's College, Oxford University.;The author of ""Sexual Politics,"" Kate Millett, attended St Hilda's College, Oxford.;The author of ""Sexual Politics,"" Kate Millett, attended the University of Oxford.;The author of ""Sexual Politics,"" Kate Millett, attended St Hilda's College at the University of Oxford.","1. Kate Millett, the author of ""Sexual Politics,"" studied at St Hilda's College, University of Oxford.;2. The University of Oxford's St Hilda's College was attended by Kate Millett, who wrote ""Sexual Politics."";3. ""Sexual Politics"" author Kate Millett was a student at St Hilda's College, part of the University of Oxford.;4. St Hilda's College at the University of Oxford was where Kate Millett, the author of ""Sexual Politics,"" pursued her studies.;5. The writer of ""Sexual Politics,"" Kate Millett, attended St Hilda's College within the University of Oxford.",NOT SURE;YES;YES;YES;YES,"1. The author of ""Sexual Politics,"" Kate Millett, did not attend St Hilda's College at the University of Oxford.;2. Kate Millett did not attend St Hilda's College at the University of Oxford.;3. The author of ""Sexual Politics"" did not attend St Hilda's College at the University of Oxford.;4. Kate Millett did not study at St Hilda's College at the University of Oxford.;5. The University of Oxford was not attended by the author of ""Sexual Politics,"" Kate Millett.",YES;NOT SURE;NOT SURE;NOT SURE;YES,0.1,no
