,Unnamed: 0,Questions,Answers,extended_answer,base_response,generated_samples,selfcheck_score
0,0,What year did Guns N Roses perform a promo for a movie starring Arnold Schwarzenegger as a former New York Police detective?,1999,Guns N Roses performed a promo for a movie starring Arnold Schwarzenegger as a former New York Police detective in 1999.,"Guns N' Roses performed a promo for the 1990 movie ""Total Recall"" starring Arnold Schwarzenegger as a former New York Police detective, which was released in June 1990.","Guns N' Roses performed the theme song ""The ECSTASY OF GOLD"" for the 1990 film ""Total Recall"" starring Arnold Schwarzenegger as a former New York Police detective.;Guns N' Roses performed the theme song ""The ECSTASY OF GOLD"" for the 1990 movie ""Total Recall"" starring Arnold Schwarzenegger as a former New York Police detective.;Guns N' Roses performed a promo for the 1990 movie ""Total Recall"" starring Arnold Schwarzenegger as a former New York Police detective, which was released in June 1990.;Guns N' Roses performed a promo for the 1990 movie ""Total Recall"" starring Arnold Schwarzenegger as a former New York Police detective, which was released in June 1990.;Guns N' Roses performed the theme song ""The Disintegration of Time"" for the 1993 movie ""Last Action Hero"" starring Arnold Schwarzenegger as a former New York Police detective.;Guns N' Roses performed the theme song ""The ECSTASY OF GOLD"" for the 1990 movie ""Total Recall"" starring Arnold Schwarzenegger as a former New York Police detective.;Guns N' Roses performed the theme song ""The Disintegration of Time"" for the 1993 movie ""Last Action Hero"" starring Arnold Schwarzenegger as a former New York Police detective.;Guns N' Roses performed the theme song ""The Disintegration of Time"" for the 1993 movie ""Last Action Hero"" starring Arnold Schwarzenegger as a former New York Police detective.;Guns N' Roses performed the theme song ""The ECSTASY OF GOLD"" for the 1990 movie ""Total Recall"" starring Arnold Schwarzenegger as a former New York Police detective.;Guns N' Roses performed a promo for the 1990 movie ""Total Recall"" starring Arnold Schwarzenegger as a former New York Police detective, which was released in June 1990.",0.6
1,1,Brown State Fishing Lake is in a country that has a population of how many inhabitants ?,"9,984","Brown State Fishing Lake is in a country that has a population of 9,984 inhabitants.","Brown State Fishing Lake is located in the United States, which has a population of over 331 million inhabitants as of 2020.","Brown State Fishing Lake is located in the United States, which has a population of over 331 million inhabitants as of 2020.;Brown State Fishing Lake is located in the United States, which has a population of approximately 331 million inhabitants as of 2020.;Brown State Fishing Lake is located in the United States, which has a population of over 331 million inhabitants as of 2020.;Brown State Fishing Lake is located in the United States, which has a population of over 331 million inhabitants as of 2020.;Brown State Fishing Lake is located in the United States, which has a population of over 331 million inhabitants as of 2020.;Brown State Fishing Lake is located in the United States, which has a population of over 331 million inhabitants as of 2020.;Brown State Fishing Lake is located in the United States, which has a population of over 331 million inhabitants as of 2020.;Brown State Fishing Lake is located in the United States, which has a population of over 331 million inhabitants as of 2020.;Brown State Fishing Lake is located in the United States, which has a population of over 331 million inhabitants as of 2020.;Brown State Fishing Lake is located in the United States, which has a population of over 331 million inhabitants as of 2020.",0.0
2,2,"Which performance act has a higher instrument to person ratio, Badly Drawn Boy or Wolf Alice? ",Badly Drawn Boy,Badly Drawn Boy has a higher instrument to person ratio compared to Wolf Alice.,"Wolf Alice typically features a higher instrument-to-person ratio, with a typical setup consisting of two guitarists, a bassist, and a drummer, whereas Badly Drawn Boy is often a solo act or accompanied by a few additional musicians, resulting in a lower instrument-to-person ratio.","Wolf Alice typically features a higher instrument-to-person ratio, with a four-piece lineup consisting of a lead vocalist and guitarist, a guitarist, a bassist, and a drummer, whereas Badly Drawn Boy is a solo project with Damon Gough performing as a singer-songwriter and multi-instrumentalist.;Wolf Alice typically features a higher instrument-to-person ratio, with a typical setup including two guitars, bass, drums, and keyboards, whereas Badly Drawn Boy's solo performances often feature just him and his acoustic guitar.;Wolf Alice typically features a higher instrument-to-person ratio, with a typical setup including two guitars, bass, drums, and keyboards, whereas Badly Drawn Boy's solo performances often feature just him and his acoustic guitar.;Wolf Alice typically features a higher instrument-to-person ratio, with a typical setup consisting of two guitarists, a bassist, and a drummer, whereas Badly Drawn Boy is often a solo act or accompanied by a single musician, with occasional additional musicians.;Wolf Alice typically features a higher instrument-to-person ratio, with a four-piece lineup consisting of a lead vocalist and guitarist, a guitarist, a bassist, and a drummer, whereas Badly Drawn Boy is a solo project with Damon Gough performing as a singer-songwriter and multi-instrumentalist.;Wolf Alice typically features a higher instrument-to-person ratio, with a typical setup including a lead vocalist and guitarist, a lead guitarist, a bassist, and a drummer, whereas Badly Drawn Boy is often a solo project with occasional accompaniment from other musicians.;Wolf Alice typically features a higher instrument-to-person ratio, with a typical setup consisting of two guitarists, a bassist, and a drummer, whereas Badly Drawn Boy is often a solo act or accompanied by a few additional musicians, resulting in a lower instrument-to-person ratio.;Wolf Alice typically features a higher instrument-to-person ratio, with a typical setup consisting of two guitarists, a bassist, and a drummer, whereas Badly Drawn Boy is often a solo act or accompanied by a small backing band, featuring a combination of guitar, keyboards, and drums.;Wolf Alice typically features a higher instrument-to-person ratio, with a four-piece lineup consisting of a lead vocalist and guitarist, a guitarist, a bassist, and a drummer, whereas Badly Drawn Boy is a solo project with Damon Gough performing as a singer-songwriter and multi-instrumentalist.;Wolf Alice typically features a higher instrument-to-person ratio, with a typical setup consisting of two guitarists, a bassist, and a drummer, whereas Badly Drawn Boy is often a solo act or accompanied by a few additional musicians, resulting in a lower instrument-to-person ratio.",0.6
3,3,"The Livesey Hal War Memorial commemorates the fallen of which war, that had over 60 million casualties?",World War II,"The Livesey Hal War Memorial commemorates the fallen of World War II, a war that had over 60 million casualties.","The Livesey Hal War Memorial commemorates the fallen of World War I, which had over 60 million casualties, including both military and civilian losses.","The Livesey Hal War Memorial commemorates the fallen of World War I, which had over 60 million casualties, including both military and civilian losses.;The Livesey Hal War Memorial commemorates the fallen of World War I, which had over 60 million casualties, including both military and civilian losses.;The Livesey Hal War Memorial commemorates the fallen of World War I, which had over 60 million casualties, including both military and civilian losses.;The Livesey Hal War Memorial commemorates the fallen of World War I, which had over 60 million casualties, including both military and civilian losses.;The Livesey Hal War Memorial commemorates the fallen of World War I, which had over 60 million casualties, including both military and civilian losses.;The Livesey Hal War Memorial commemorates the fallen of World War I, which had over 60 million casualties, including both military and civilian losses.;The Livesey Hal War Memorial commemorates the fallen of World War I, which had over 60 million casualties, including both military and civilian losses.;The Livesey Hal War Memorial commemorates the fallen of World War I, which had over 60 million casualties, including both military and civilian losses.;The Livesey Hal War Memorial commemorates the fallen of World War I, which had over 60 million casualties, including both military and civilian losses.;The Livesey Hal War Memorial commemorates the fallen of World War I, which had over 60 million casualties, including both military and civilian losses.",0.0
4,4,"Ellie Goulding worked with what other writers on her third studio album, Delirium?","Max Martin, Savan Kotecha and Ilya Salmanzadeh","Ellie Goulding worked with Max Martin, Savan Kotecha, and Ilya Salmanzadeh, who are all talented writers, on her third studio album, Delirium.","Ellie Goulding collaborated with various songwriters and producers on her third studio album Delirium, including Max Martin, Greg Kurstin, and Calvin Harris, among others.","Ellie Goulding collaborated with various songwriters and producers on her third studio album Delirium, including Max Martin, Greg Kurstin, and Calvin Harris, among others.;Ellie Goulding collaborated with various songwriters on her third studio album Delirium, including Max Martin, Greg Kurstin, and Jim Eliot, among others.;Ellie Goulding collaborated with various songwriters and producers on her third studio album Delirium, including Max Martin, Greg Kurstin, and Calvin Harris, among others.;Ellie Goulding collaborated with various songwriters and producers on her third studio album Delirium, including Max Martin, Greg Kurstin, and Calvin Harris, among others.;Ellie Goulding collaborated with various songwriters and producers on her third studio album Delirium, including Max Martin, Greg Kurstin, and Calvin Harris, among others.;Ellie Goulding collaborated with various songwriters and producers on her third studio album Delirium, including Max Martin, Greg Kurstin, and Calvin Harris, among others.;Ellie Goulding collaborated with various songwriters and producers on her third studio album Delirium, including Max Martin, Greg Kurstin, and Calvin Harris, among others.;Ellie Goulding collaborated with various songwriters and producers on her third studio album Delirium, including Max Martin, Greg Kurstin, and Calvin Harris, among others.;Ellie Goulding collaborated with various songwriters and producers on her third studio album Delirium, including Max Martin, Greg Kurstin, and Calvin Harris, among others.;Ellie Goulding collaborated with various songwriters and producers on her third studio album Delirium, including Max Martin, Greg Kurstin, and Calvin Harris, among others.",0.1
5,5,"Based on a True Story... is an album by which country music star, with the single My Eyes?",Blake Shelton,"Based on a True Story... is an album by country music star Blake Shelton, with the single My Eyes.","The album ""Based on a True Story..."" is by American country music star Blake Shelton, and it features the single ""My Eyes"", which is a duet with Miranda Lambert.","The album ""Based on a True Story..."" is by American country music star Blake Shelton, and it features the single ""My Eyes"", which is a duet with Miranda Lambert.;The album ""Based on a True Story..."" is by American country music star Blake Shelton, and it features the single ""My Eyes"", which is a duet with Miranda Lambert.;The album ""Based on a True Story..."" is by American country music star Blake Shelton, and it features the single ""My Eyes"", which is a duet with Miranda Lambert.;The album ""Based on a True Story..."" is by American country music star Blake Shelton, and it features the single ""My Eyes"", which is a duet with Miranda Lambert.;The album ""Based on a True Story..."" is by American country music star Blake Shelton, and it features the single ""My Eyes"", which is a duet with Miranda Lambert.;The album ""Based on a True Story..."" is by American country music star Blake Shelton, and it features the single ""My Eyes"", which is a duet with Miranda Lambert.;The album ""Based on a True Story..."" is by American country music star Blake Shelton, and it features the single ""My Eyes"", which is a duet with Miranda Lambert.;The album ""Based on a True Story..."" is by American country music star Blake Shelton, and it features the single ""My Eyes"", which is a duet with Miranda Lambert.;The album ""Based on a True Story..."" is by American country music star Blake Shelton, and it features the single ""My Eyes"", which is a duet with Miranda Lambert.;The album ""Based on a True Story..."" is by American country music star Blake Shelton, and it features the single ""My Eyes"", which is a duet with Miranda Lambert.",0.0
6,6,Were the bands Skin Yard and Ostava from the U.S.?,no,"No, neither Skin Yard nor Ostava were from the U.S.","Skin Yard, a grunge band, and Ostava, a post-punk band, were both formed in Seattle, Washington, USA, and were part of the city's vibrant music scene in the 1980s and 1990s.","Skin Yard, a grunge band, and Ostava, a post-punk band, were both formed in Seattle, Washington, USA, and were active in the 1980s and 1990s.;Skin Yard, a grunge band, and Ostava, a post-punk band, were both formed in Seattle, Washington, USA, and were active in the 1980s and 1990s.;Skin Yard, a grunge band, and Ostava, a post-punk band, were both formed in Seattle, Washington, USA, and were active in the 1980s and 1990s.;Skin Yard, a grunge band, and Ostava, a post-punk band, were both formed in Seattle, Washington, USA, and were active in the 1980s and 1990s.;Skin Yard, a grunge band, and Ostava, a post-punk band, were both formed in Seattle, Washington, USA, and were active in the 1980s and 1990s.;Skin Yard, a grunge band, and Ostava, a post-punk band, were both formed in Seattle, Washington, USA, and were active in the 1980s and 1990s.;Skin Yard, a grunge band, and Ostava, a post-punk band, were both formed in Seattle, Washington, USA, and were active in the 1980s and 1990s.;Skin Yard, a grunge band, and Ostava, a post-punk band, were both formed in Seattle, Washington, USA, and were part of the city's thriving music scene in the 1980s and 1990s.;Skin Yard, a grunge band, and Ostava, a post-punk band, were both formed in Seattle, Washington, USA, and were active in the 1980s and 1990s.;Skin Yard, a grunge band, and Ostava, a post-punk band, were both formed in Seattle, Washington, USA, and were part of the city's vibrant music scene in the 1980s and 1990s.",0.0
7,7,The youngest daughter of Lady Mary-Gaye Curzon stars with Douglas Smith and Lucien Laviscount  in what 2017 film?,The Bye Bye Man,"The youngest daughter of Lady Mary-Gaye Curzon stars with Douglas Smith and Lucien Laviscount in the 2017 film titled ""The Bye Bye Man.""","The youngest daughter of Lady Mary-Gaye Curzon, Georgiana Curzon, stars alongside Douglas Smith and Lucien Laviscount in the 2017 film ""The Bye Bye Man"".","The youngest daughter of Lady Mary-Gaye Curzon, Georgiana Curzon, stars alongside Douglas Smith and Lucien Laviscount in the 2017 film ""The Bye Bye Man"".;The youngest daughter of Lady Mary-Gaye Curzon, Georgiana Curzon, stars alongside Douglas Smith and Lucien Laviscount in the 2017 film ""The Bye Bye Man"".;The youngest daughter of Lady Mary-Gaye Curzon, Georgiana Curzon, stars alongside Douglas Smith and Lucien Laviscount in the 2017 film ""Unsane"".;The youngest daughter of Lady Mary-Gaye Curzon, Georgiana Curzon, stars alongside Douglas Smith and Lucien Laviscount in the 2017 film ""The Bye Bye Man"".;The youngest daughter of Lady Mary-Gaye Curzon, Georgiana Curzon, stars alongside Douglas Smith and Lucien Laviscount in the 2017 film ""The Bye Bye Man"".;The youngest daughter of Lady Mary-Gaye Curzon, Georgiana Curzon, stars alongside Douglas Smith and Lucien Laviscount in the 2017 film ""Unsane"".;The youngest daughter of Lady Mary-Gaye Curzon, Georgiana Curzon, stars alongside Douglas Smith and Lucien Laviscount in the 2017 film ""The Bye Bye Man"".;The youngest daughter of Lady Mary-Gaye Curzon, Talulah Riley, stars alongside Douglas Smith and Lucien Laviscount in the 2017 film ""Unsane"".;The youngest daughter of Lady Mary-Gaye Curzon, Georgiana Curzon, stars alongside Douglas Smith and Lucien Laviscount in the 2017 film ""The Bye Bye Man"".;The youngest daughter of Lady Mary-Gaye Curzon, Georgiana Curzon, stars alongside Douglas Smith and Lucien Laviscount in the 2017 film ""The Bye Bye Man"".",0.9
8,8,When was the palace founded at which Columba de Dunbar died in 1435?,the late 12th Century,"The palace, at which Columba de Dunbar died in 1435, was founded in the late 12th Century.","Columba de Dunbar died in 1500 at the Palace of Holyroodhouse in Edinburgh, Scotland, which was founded in the 12th century.","Columba de Dunbar died in 1500, and the palace where she died is believed to be the Palace of Holyroodhouse in Edinburgh, Scotland, which was founded in the 12th century.;Columba de Dunbar died in 1500 at the Palace of Holyroodhouse in Edinburgh, Scotland, which was founded in the 12th century.;Columba de Dunbar died in 1500, not 1435, and she was the Countess of Buchan, not a resident of a specific palace, but rather a noblewoman who lived in Scotland during the 15th century.;Columba de Dunbar died in 1500 at the Palace of Holyroodhouse in Edinburgh, Scotland, which was founded in the 12th century.;Columba de Dunbar died in 1500 at the Palace of Fotheringhay, which was founded in the 12th century and was a royal residence and hunting lodge in Northamptonshire, England.;Columba de Dunbar died in 1500 at the Palace of Holyroodhouse in Edinburgh, Scotland, which was founded in the 12th century.;Columba de Dunbar died in 1500 at the Palace of Fotheringhay, which was founded in the 12th century and was a royal residence and hunting lodge in Northamptonshire, England.;Columba de Dunbar died in 1500 at the Palace of Holyroodhouse in Edinburgh, Scotland, which was founded in the 12th century.;Columba de Dunbar died in 1500 at the Palace of Holyroodhouse in Edinburgh, Scotland, which was founded in the 12th century.;Columba de Dunbar died in 1500 at the Palace of Holyroodhouse in Edinburgh, Scotland, which was founded in the 12th century.",0.4
9,9,The author of Sexual Politics attended which British University?,Oxford,"The author of Sexual Politics attended Oxford, one of the most prestigious universities in Britain.","Dame Kate Millett, the author of Sexual Politics, attended Cornell University in the United States, not a British university.","Dame Kate Millett, the author of Sexual Politics, attended Cornell University in the United States, not a British university.;Dame Kate Millett, the author of Sexual Politics, attended Cornell University in the United States, not a British university.;Dame Kate Millett, the author of Sexual Politics, attended Cornell University in the United States, not a British university.;Dame Kate Millett, the author of Sexual Politics, attended Cornell University in the United States, not a British university.;Dame Kate Millett, the author of Sexual Politics, attended Cornell University in the United States, not a British university.;Dame Kate Millett, the author of Sexual Politics, attended Cornell University in the United States, not a British university.;Dame Kate Millett, the author of Sexual Politics, attended Cornell University in the United States, not a British university.;Dame Kate Millett, the author of Sexual Politics, attended Cornell University in the United States, not a British university.;Dame Kate Millett, the author of Sexual Politics, attended Cornell University in the United States, not a British university.;Dame Kate Millett, the author of Sexual Politics, attended Cornell University in the United States, not a British university.",0.0
